Date,Open,High,Low,Close,Adj Close,Volume
1981-07-14,1.000000,1.000000,1.000000,1.000000,0.170335,0
1981-07-15,1.000000,1.000000,1.000000,1.000000,0.170335,0
1981-07-16,1.000000,1.000000,1.000000,1.000000,0.170335,0
1981-07-17,1.000000,1.000000,1.000000,1.000000,0.170335,0
1981-07-20,1.000000,1.000000,1.000000,1.000000,0.170335,0
1981-07-21,1.000000,1.000000,1.000000,1.000000,0.170335,0
1981-07-22,1.000000,1.000000,1.000000,1.000000,0.170335,0
1981-07-23,1.000000,1.000000,1.000000,1.000000,0.170335,0
1981-07-24,1.000000,1.000000,1.000000,1.000000,0.170335,0
1981-07-27,1.000000,1.000000,1.000000,1.000000,0.170335,0
1981-07-28,1.000000,1.000000,1.000000,1.000000,0.170335,0
1981-07-29,1.000000,1.000000,1.000000,1.000000,0.170335,0
1981-07-30,1.000000,1.000000,1.000000,1.000000,0.170335,0
1981-07-31,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-03,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-04,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-05,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-06,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-07,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-10,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-11,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-12,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-13,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-14,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-17,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-18,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-19,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-20,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-21,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-24,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-25,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-26,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-27,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-28,1.009000,1.009000,1.009000,1.009000,0.171868,0
1981-08-31,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-01,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-02,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-03,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-04,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-08,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-09,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-10,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-11,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-14,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-15,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-16,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-17,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-18,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-21,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-22,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-23,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-24,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-25,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-28,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-29,0.927000,0.927000,0.927000,0.927000,0.157900,0
1981-09-30,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-01,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-02,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-05,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-06,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-07,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-08,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-09,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-12,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-13,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-14,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-15,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-16,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-19,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-20,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-21,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-22,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-23,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-26,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-27,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-28,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-29,0.900000,0.900000,0.900000,0.900000,0.153301,0
1981-10-30,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-02,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-03,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-04,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-05,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-06,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-09,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-10,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-11,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-12,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-13,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-16,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-17,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-18,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-19,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-20,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-23,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-24,1.045000,1.045000,1.045000,1.045000,0.178000,0
1981-11-25,1.045000,1.045000,1.045000,1.045000,0.178000,0
