Date,S&P 500 Information Technology (Sector) (TR),S&P 500 Information Technology (Sector) (Net TR),S&P 500 Information Technology (Sector),,,,,,
6/27/14,720.56,151.45,631.47,,,,,,
6/30/14,721.69,151.69,632.46,,,,,,
7/1/14,729.39,153.3,639.21,,,,,,
7/2/14,729.76,153.37,639.34,,,,,,
7/3/14,733.56,154.17,642.67,,,,,,
7/7/14,733.54,154.15,642.56,,,,,,
7/8/14,726.34,152.64,636.23,,,,,,
7/9/14,729.82,153.37,639.27,,,,,,
7/10/14,727.68,152.92,637.4,,,,,,
7/11/14,730.82,153.58,640.15,,,,,,
7/14/14,736.45,154.76,645.08,,,,,,
7/15/14,735,154.46,643.81,,,,,,
7/16/14,742.06,155.94,650,,,,,,
7/17/14,732.36,153.91,641.5,,,,,,
7/18/14,742.12,155.96,650.05,,,,,,
7/21/14,741.56,155.84,649.56,,,,,,
7/22/14,747.96,157.18,655.16,,,,,,
7/23/14,749.3,157.47,656.34,,,,,,
7/24/14,749.31,157.47,656.35,,,,,,
7/25/14,747.57,157.1,654.82,,,,,,
7/28/14,748.9,157.38,655.99,,,,,,
7/29/14,745.07,156.57,652.57,,,,,,
7/30/14,746.92,156.96,654.17,,,,,,
7/31/14,732.26,153.88,641.32,,,,,,
8/1/14,729.29,153.25,638.72,,,,,,
8/4/14,734.19,154.28,642.99,,,,,,
8/5/14,727.53,152.87,636.95,,,,,,
8/6/14,726.27,152.59,635.61,,,,,,
8/7/14,723.62,151.99,632.73,,,,,,
8/8/14,728.66,153.05,637.14,,,,,,
8/11/14,732.85,153.93,640.8,,,,,,
8/12/14,731.36,153.61,639.5,,,,,,
8/13/14,739.75,155.37,646.79,,,,,,
8/14/14,740.66,155.56,647.56,,,,,,
8/15/14,741.5,155.74,648.29,,,,,,
8/18/14,749.37,157.39,655.17,,,,,,
8/19/14,755.04,158.55,659.66,,,,,,
8/20/14,755.01,158.54,659.64,,,,,,
8/21/14,758.88,159.35,663.02,,,,,,
8/22/14,759.02,159.38,663.14,,,,,,
8/25/14,759.16,159.41,663.24,,,,,,
8/26/14,759.77,159.54,663.77,,,,,,
8/27/14,759.4,159.46,663.4,,,,,,
8/28/14,757.75,159.11,661.94,,,,,,
8/29/14,761.31,159.85,664.91,,,,,,
9/2/14,762.36,160.07,665.83,,,,,,
9/3/14,756.99,158.94,661.11,,,,,,
9/4/14,756.29,158.79,660.5,,,,,,
9/5/14,761.19,159.82,664.77,,,,,,
9/8/14,762.41,160.07,665.77,,,,,,
9/9/14,757.52,159.05,661.5,,,,,,
9/10/14,763.91,160.38,667.03,,,,,,
9/11/14,764.87,160.58,667.84,,,,,,
9/12/14,761.52,159.88,664.9,,,,,,
9/15/14,756.71,158.87,660.7,,,,,,
9/16/14,761.83,159.94,665.17,,,,,,
9/17/14,763.24,160.24,666.39,,,,,,
9/18/14,768.25,161.29,670.76,,,,,,
9/19/14,765.46,160.7,668.32,,,,,,
9/22/14,759.63,159.48,663.23,,,,,,
9/23/14,758.05,159.15,661.85,,,,,,
9/24/14,763.05,160.2,666.22,,,,,,
9/25/14,745.65,156.55,651.03,,,,,,
9/26/14,754.79,158.46,659,,,,,,
9/29/14,754.13,158.32,658.37,,,,,,
9/30/14,756.11,158.72,659.92,,,,,,
10/1/14,743.7,156.12,649.07,,,,,,
10/2/14,744,156.18,649.33,,,,,,
10/3/14,749.73,157.38,654.33,,,,,,
10/6/14,749.69,157.37,654.23,,,,,,
10/7/14,737.32,154.77,643.4,,,,,,
10/8/14,751.91,157.83,656.11,,,,,,
10/9/14,739.35,155.2,645.16,,,,,,
10/10/14,718.75,150.87,627.18,,,,,,
10/13/14,709.79,148.99,619.36,,,,,,
10/14/14,711.79,149.41,621.11,,,,,,
10/15/14,706.61,148.32,616.46,,,,,,
10/16/14,702.62,147.48,612.98,,,,,,
10/17/14,711.03,149.24,620.32,,,,,,
10/20/14,715.79,150.24,624.47,,,,,,
10/21/14,731.25,153.49,637.96,,,,,,
10/22/14,727.22,152.64,634.44,,,,,,
10/23/14,738.33,154.97,644.14,,,,,,
10/24/14,744.29,156.22,649.34,,,,,,
10/27/14,744.58,156.28,649.59,,,,,,
10/28/14,755.16,158.51,658.82,,,,,,
10/29/14,754,158.26,657.74,,,,,,
10/30/14,755.81,158.63,659.28,,,,,,
10/31/14,769.1,161.42,670.87,,,,,,
11/3/14,772.18,162.07,673.55,,,,,,
11/4/14,772.54,162.15,673.86,,,,,,
11/5/14,774.83,162.61,675.64,,,,,,
11/6/14,775.18,162.63,675.17,,,,,,
11/7/14,774.92,162.57,674.94,,,,,,
11/10/14,776.97,163,676.73,,,,,,
11/11/14,777.69,163.15,677.36,,,,,,
11/12/14,779.63,163.55,678.96,,,,,,
11/13/14,784.29,164.53,683,,,,,,
11/14/14,789.12,165.55,687.21,,,,,,
11/17/14,787.78,165.26,686.04,,,,,,
11/18/14,791.4,165.98,688.66,,,,,,
11/19/14,786.34,164.92,684.23,,,,,,
11/20/14,791.4,165.98,688.62,,,,,,
11/21/14,793.07,166.33,690.07,,,,,,
11/24/14,798.63,167.5,694.91,,,,,,
11/25/14,799.18,167.61,695.36,,,,,,
11/26/14,806.5,169.13,701.58,,,,,,
11/28/14,809.51,169.77,704.2,,,,,,
12/1/14,800.55,167.89,696.4,,,,,,
12/2/14,802.6,168.32,698.19,,,,,,
12/3/14,806.32,169.09,701.39,,,,,,
12/4/14,807.18,169.27,702.13,,,,,,
12/5/14,805.87,169,701,,,,,,
12/8/14,796.12,166.95,692.45,,,,,,
12/9/14,799.86,167.74,695.71,,,,,,
12/10/14,786.83,165,684.33,,,,,,
12/11/14,790.83,165.84,687.79,,,,,,
12/12/14,778.49,163.25,677.04,,,,,,
12/15/14,773.89,162.28,673.03,,,,,,
12/16/14,762.51,159.9,663.13,,,,,,
12/17/14,777.15,162.97,675.85,,,,,,
12/18/14,800.76,167.92,696.38,,,,,,
12/19/14,801.49,168.07,697.01,,,,,,
12/22/14,810.16,169.89,704.56,,,,,,
12/23/14,812.41,170.36,706.51,,,,,,
12/24/14,811.64,170.2,705.84,,,,,,
12/26/14,814.98,170.9,708.74,,,,,,
12/29/14,810.99,170.06,705.27,,,,,,
12/30/14,805.4,168.88,700.34,,,,,,
12/31/14,795.75,166.86,691.95,,,,,,
1/2/15,794.79,166.64,690.92,,,,,,
1/5/15,780.84,163.71,678.72,,,,,,
1/6/15,771.29,161.71,670.42,,,,,,
1/7/15,778.02,163.12,676.22,,,,,,
1/8/15,795.7,166.83,691.58,,,,,,
1/9/15,793.47,166.36,689.64,,,,,,
1/12/15,782.8,164.12,680.37,,,,,,
1/13/15,782.29,164.02,679.93,,,,,,
1/14/15,778.14,163.14,676.32,,,,,,
1/15/15,766.76,160.76,666.43,,,,,,
1/16/15,773.77,162.23,672.52,,,,,,
1/20/15,780.11,163.56,678.03,,,,,,
1/21/15,781.24,163.8,679.02,,,,,,
1/22/15,796.52,167,692.29,,,,,,
1/23/15,797.84,167.28,693.44,,,,,,
1/26/15,794.36,166.54,690.41,,,,,,
1/27/15,768.35,161.09,667.81,,,,,,
1/28/15,767.92,161,667.37,,,,,,
1/29/15,776.22,162.74,674.56,,,,,,
1/30/15,765.14,160.41,664.92,,,,,,
2/2/15,773.11,162.08,671.84,,,,,,
2/3/15,781.09,163.75,678.77,,,,,,
2/4/15,782.3,163.99,679.6,,,,,,
2/5/15,790.06,165.58,685.81,,,,,,
2/6/15,785.35,164.58,681.48,,,,,,
2/9/15,784.18,164.33,680.46,,,,,,
2/10/15,796.62,166.94,691.26,,,,,,
2/11/15,800.07,167.66,694.19,,,,,,
2/12/15,813.21,170.41,705.57,,,,,,
2/13/15,819.03,171.63,710.59,,,,,,
2/17/15,819.58,171.71,710.56,,,,,,
2/18/15,820.86,171.97,711.67,,,,,,
2/19/15,824.16,172.66,714.51,,,,,,
2/20/15,829.33,173.75,719,,,,,,
2/23/15,830.64,174.02,720.13,,,,,,
2/24/15,831.99,174.3,721.28,,,,,,
2/25/15,826.51,173.15,716.45,,,,,,
2/26/15,832.06,174.31,721.24,,,,,,
2/27/15,827.64,173.38,717.41,,,,,,
3/2/15,835.85,175.09,724.39,,,,,,
3/3/15,829.2,173.7,718.63,,,,,,
3/4/15,826.5,173.14,716.29,,,,,,
3/5/15,825.48,172.92,715.41,,,,,,
3/6/15,816,170.93,707.18,,,,,,
3/9/15,820.1,171.79,710.66,,,,,,
3/10/15,802.17,168.03,695.12,,,,,,
3/11/15,796.67,166.88,690.3,,,,,,
3/12/15,800.88,167.76,693.95,,,,,,
3/13/15,796.72,166.88,690.31,,,,,,
3/16/15,806.38,168.91,698.68,,,,,,
3/17/15,806.83,169,699.07,,,,,,
3/18/15,817.08,171.15,707.93,,,,,,
3/19/15,815.69,170.86,706.72,,,,,,
3/20/15,820,171.76,710.46,,,,,,
3/23/15,820.72,171.91,711.09,,,,,,
3/24/15,818.33,171.41,709.01,,,,,,
3/25/15,796.51,166.84,690.11,,,,,,
3/26/15,797.02,166.95,690.55,,,,,,
3/27/15,798.35,167.22,691.69,,,,,,
3/30/15,807.65,169.17,699.7,,,,,,
3/31/15,800.32,167.62,693.12,,,,,,
4/1/15,796.79,166.88,690.06,,,,,,
4/2/15,796.39,166.79,689.62,,,,,,
4/6/15,804.25,168.43,696.43,,,,,,
4/7/15,803.12,168.19,695.42,,,,,,
4/8/15,805.24,168.63,697.11,,,,,,
4/9/15,808.46,169.3,699.9,,,,,,
4/10/15,811.59,169.96,702.61,,,,,,
4/13/15,808.81,169.38,700.2,,,,,,
4/14/15,806.09,168.8,697.84,,,,,,
4/15/15,813.16,170.28,703.97,,,,,,
4/16/15,810.8,169.79,701.92,,,,,,
4/17/15,799.12,167.34,691.81,,,,,,
4/20/15,813.39,170.33,704.17,,,,,,
4/21/15,812.86,170.22,703.71,,,,,,
4/22/15,821.75,172.08,711.4,,,,,,
4/23/15,823.38,172.43,712.82,,,,,,
4/24/15,831.61,174.15,719.94,,,,,,
4/27/15,834.62,174.78,722.54,,,,,,
4/28/15,836.1,175.08,723.76,,,,,,
4/29/15,832.1,174.24,720.26,,,,,,
4/30/15,819.01,171.5,708.92,,,,,,
5/1/15,831.04,174.02,719.33,,,,,,
5/4/15,830.98,174.01,719.28,,,,,,
5/5/15,818.23,171.32,708.03,,,,,,
5/6/15,811.87,169.98,702.3,,,,,,
5/7/15,817.84,171.18,706.84,,,,,,
5/8/15,830.39,173.81,717.69,,,,,,
5/11/15,825.78,172.84,713.69,,,,,,
5/12/15,821.34,171.91,709.85,,,,,,
5/13/15,825.23,172.72,713.14,,,,,,
5/14/15,839.53,175.71,725.49,,,,,,
5/15/15,836.71,175.12,723.05,,,,,,
5/18/15,840.16,175.84,726.03,,,,,,
5/19/15,838.68,175.49,724.21,,,,,,
5/20/15,838.73,175.5,724.24,,,,,,
5/21/15,841.72,176.13,726.83,,,,,,
5/22/15,841.91,176.17,726.98,,,,,,
5/26/15,829.93,173.66,716.62,,,,,,
5/27/15,845.13,176.84,729.65,,,,,,
5/28/15,844.23,176.65,728.87,,,,,,
5/29/15,837.92,175.33,723.41,,,,,,
6/1/15,840.88,175.93,725.82,,,,,,
6/2/15,838.52,175.44,723.78,,,,,,
6/3/15,839.86,175.72,724.94,,,,,,
6/4/15,832.07,174.09,718.22,,,,,,
6/5/15,830.36,173.73,716.74,,,,,,
6/8/15,820.37,171.64,708.02,,,,,,
6/9/15,818.85,171.32,706.7,,,,,,
6/10/15,831.97,174.06,717.97,,,,,,
6/11/15,831.28,173.91,717.37,,,,,,
6/12/15,824.55,172.5,711.53,,,,,,
6/15/15,819.54,171.46,707.21,,,,,,
6/16/15,824.37,172.47,711.37,,,,,,
6/17/15,826.12,172.83,712.87,,,,,,
6/18/15,832.95,174.26,718.75,,,,,,
6/19/15,826.81,172.98,713.46,,,,,,
6/22/15,832.47,174.16,718.34,,,,,,
6/23/15,832.19,174.1,718.1,,,,,,
6/24/15,828.82,173.39,715.19,,,,,,
6/25/15,826.23,172.85,712.96,,,,,,
6/26/15,818.39,171.21,706.18,,,,,,
6/29/15,800.58,167.48,690.77,,,,,,
6/30/15,801.8,167.74,691.8,,,,,,
7/1/15,807.16,168.84,696.22,,,,,,
7/2/15,808.48,169.12,697.35,,,,,,
7/6/15,804.88,168.36,694.16,,,,,,
7/7/15,805.25,168.44,694.45,,,,,,
7/8/15,791.87,165.63,682.88,,,,,,
7/9/15,789.34,165.11,680.7,,,,,,
7/10/15,801.84,167.72,691.48,,,,,,
7/13/15,814.86,170.44,702.71,,,,,,
7/14/15,818.02,171.1,705.43,,,,,,
7/15/15,818.95,171.3,706.24,,,,,,
7/16/15,829.44,173.49,715.28,,,,,,
7/17/15,843.99,176.54,727.83,,,,,,
7/20/15,848.38,177.45,731.61,,,,,,
7/21/15,844.28,176.6,728.08,,,,,,
7/22/15,830.42,173.7,716.13,,,,,,
7/23/15,828.3,173.25,714.3,,,,,,
7/24/15,823.34,172.22,710.03,,,,,,
7/27/15,815.43,170.56,703.2,,,,,,
7/28/15,823.04,172.15,709.77,,,,,,
7/29/15,828.72,173.34,714.59,,,,,,
7/30/15,829.89,173.58,715.57,,,,,,
7/31/15,825.8,172.72,712.03,,,,,,
8/3/15,821.91,171.91,708.69,,,,,,
8/4/15,816.14,170.7,703.68,,,,,,
8/5/15,824.69,172.47,710.83,,,,,,
8/6/15,817.16,170.84,703.52,,,,,,
8/7/15,817.56,170.92,703.83,,,,,,
8/10/15,830.31,173.58,714.81,,,,,,
8/11/15,816.5,170.7,702.92,,,,,,
8/12/15,820.91,171.62,706.66,,,,,,
8/13/15,818.95,171.21,704.96,,,,,,
8/14/15,823.14,172.08,708.57,,,,,,
8/17/15,827.97,173.09,712.72,,,,,,
8/18/15,823.73,172.17,708.55,,,,,,
8/19/15,816.7,170.7,702.5,,,,,,
8/20/15,796.62,166.5,685.23,,,,,,
8/21/15,763.05,159.48,656.35,,,,,,
8/24/15,736.65,153.96,633.63,,,,,,
8/25/15,727.94,152.14,626.12,,,,,,
8/26/15,766.44,160.18,659.17,,,,,,
8/27/15,784.89,164.04,675.01,,,,,,
8/28/15,786.77,164.43,676.62,,,,,,
8/31/15,779.97,163,670.62,,,,,,
9/1/15,753.82,157.53,648.14,,,,,,
9/2/15,773.61,161.67,665.14,,,,,,
9/3/15,772.78,161.5,664.43,,,,,,
9/4/15,761.42,159.12,654.58,,,,,,
9/8/15,782.97,163.62,673.11,,,,,,
9/9/15,772.58,161.44,664.11,,,,,,
9/10/15,780.6,163.12,671,,,,,,
9/11/15,785.37,164.11,675.09,,,,,,
9/14/15,783.21,163.66,673.21,,,,,,
9/15/15,793.15,165.74,681.74,,,,,,
9/16/15,797.37,166.62,685.36,,,,,,
9/17/15,791.99,165.49,680.73,,,,,,
9/18/15,781.53,163.31,671.73,,,,,,
9/21/15,789.3,164.93,678.42,,,,,,
9/22/15,776.87,162.34,667.73,,,,,,
9/23/15,778.73,162.72,669.33,,,,,,
9/24/15,778.71,162.72,669.32,,,,,,
9/25/15,777.39,162.44,668.18,,,,,,
9/28/15,759.08,158.62,652.43,,,,,,
9/29/15,754.96,157.75,648.84,,,,,,
9/30/15,772.1,161.33,663.55,,,,,,
10/1/15,772,161.3,663.26,,,,,,
10/2/15,783.74,163.75,673.35,,,,,,
10/5/15,798.84,166.9,686.32,,,,,,
10/6/15,800.28,167.21,687.56,,,,,,
10/7/15,803.44,167.86,690.22,,,,,,
10/8/15,807.05,168.62,693.32,,,,,,
10/9/15,811.29,169.49,696.86,,,,,,
10/12/15,812.97,169.85,698.31,,,,,,
10/13/15,810.32,169.29,696.03,,,,,,
10/14/15,809.68,169.15,695.35,,,,,,
10/15/15,818.9,171.08,703.27,,,,,,
10/16/15,821.24,171.56,705.28,,,,,,
10/19/15,823.77,172.09,707.45,,,,,,
10/20/15,820.88,171.49,704.97,,,,,,
10/21/15,814.47,170.15,699.46,,,,,,
10/22/15,833.7,174.17,715.98,,,,,,
10/23/15,859.09,179.47,737.78,,,,,,
10/26/15,856.34,178.9,735.42,,,,,,
10/27/15,851.67,177.92,731.41,,,,,,
10/28/15,864.75,180.65,742.57,,,,,,
10/29/15,861.83,180.04,740.03,,,,,,
10/30/15,855.19,178.65,734.33,,,,,,
11/2/15,863.66,180.42,741.61,,,,,,
11/3/15,869.22,181.58,746.37,,,,,,
11/4/15,870.33,181.79,747.06,,,,,,
11/5/15,868.22,181.31,744.68,,,,,,
11/6/15,872.05,182.09,747.73,,,,,,
11/9/15,863.31,180.27,740.23,,,,,,
11/10/15,857.2,178.98,734.9,,,,,,
11/11/15,856.87,178.92,734.63,,,,,,
11/12/15,849.07,177.29,727.92,,,,,,
11/13/15,832.01,173.72,713.29,,,,,,
11/16/15,843.84,176.19,723.43,,,,,,
11/17/15,843.79,176.14,722.78,,,,,,
11/18/15,857.33,178.96,734.35,,,,,,
11/19/15,860.99,179.73,737.47,,,,,,
11/20/15,868.4,181.27,743.81,,,,,,
11/23/15,863.93,180.34,739.98,,,,,,
11/24/15,864.09,180.37,740.09,,,,,,
11/25/15,860.83,179.69,737.28,,,,,,
11/27/15,862.19,179.96,738.3,,,,,,
11/30/15,862.65,180.06,738.69,,,,,,
12/1/15,872.14,182.04,746.82,,,,,,
12/2/15,866.63,180.89,742.08,,,,,,
12/3/15,855.46,178.56,732.52,,,,,,
12/4/15,876.19,182.88,750.26,,,,,,
12/7/15,871.28,181.85,745.99,,,,,,
12/8/15,869.34,181.45,744.33,,,,,,
12/9/15,856.57,178.78,733.35,,,,,,
12/10/15,858.34,179.15,734.86,,,,,,
12/11/15,840.61,175.45,719.66,,,,,,
12/14/15,845.97,176.56,724.24,,,,,,
12/15/15,849.55,177.31,727.28,,,,,,
12/16/15,860.72,179.64,736.82,,,,,,
12/17/15,846.86,176.75,724.96,,,,,,
12/18/15,829.66,173.16,710.23,,,,,,
12/21/15,838.42,174.98,717.73,,,,,,
12/22/15,844.08,176.17,722.58,,,,,,
12/23/15,850.93,177.6,728.44,,,,,,
12/24/15,849.82,177.36,727.49,,,,,,
12/28/15,850.34,177.47,727.93,,,,,,
12/29/15,861.77,179.86,737.69,,,,,,
12/30/15,855.11,178.46,731.94,,,,,,
12/31/15,842.9,175.91,721.48,,,,,,
1/4/16,830.13,173.23,710.26,,,,,,
1/5/16,826.62,172.49,707.25,,,,,,
1/6/16,816.1,170.29,698.2,,,,,,
1/7/16,790.48,164.95,676.27,,,,,,
1/8/16,784.18,163.63,670.88,,,,,,
1/11/16,789.1,164.66,675.09,,,,,,
1/12/16,798.92,166.71,683.49,,,,,,
1/13/16,776.62,162.06,664.42,,,,,,
1/14/16,792.31,165.33,677.84,,,,,,
1/15/16,767.36,160.12,656.49,,,,,,
1/19/16,766.85,160.02,656.05,,,,,,
1/20/16,761.91,158.99,651.82,,,,,,
1/21/16,764.45,159.52,654,,,,,,
1/22/16,785.9,163.99,672.35,,,,,,
1/25/16,775.14,161.75,663.14,,,,,,
1/26/16,782.14,163.21,669.13,,,,,,
1/27/16,762.86,159.18,652.64,,,,,,
1/28/16,774.27,161.56,662.3,,,,,,
1/29/16,802.17,167.38,686.16,,,,,,
2/1/16,803.71,167.7,687.49,,,,,,
2/2/16,787.45,164.31,673.58,,,,,,
2/3/16,784.79,163.74,671.06,,,,,,
2/4/16,786.36,164.02,671.84,,,,,,
2/5/16,760.07,158.54,649.34,,,,,,
2/8/16,747.92,155.98,638.73,,,,,,
2/9/16,744.95,155.36,636.18,,,,,,
2/10/16,747.63,155.92,638.45,,,,,,
2/11/16,746.14,155.61,637.17,,,,,,
2/12/16,756.2,157.71,645.76,,,,,,
2/16/16,771.18,160.79,657.98,,,,,,
2/17/16,789.17,164.54,673.27,,,,,,
2/18/16,784.01,163.46,668.83,,,,,,
2/19/16,785.77,163.82,670.33,,,,,,
2/22/16,797.04,166.18,679.95,,,,,,
2/23/16,782.43,163.13,667.43,,,,,,
2/24/16,789.47,164.59,673.38,,,,,,
2/25/16,799.69,166.72,682.1,,,,,,
2/26/16,797.44,166.25,680.17,,,,,,
2/29/16,792.31,165.17,675.63,,,,,,
3/1/16,816.71,170.25,696.43,,,,,,
3/2/16,818.19,170.56,697.7,,,,,,
3/3/16,817.67,170.46,697.26,,,,,,
3/4/16,820.51,171.05,699.68,,,,,,
3/7/16,814.58,169.81,694.55,,,,,,
3/8/16,808.31,168.5,689.19,,,,,,
3/9/16,816.67,170.24,696.27,,,,,,
3/10/16,815.66,170.03,695.41,,,,,,
3/11/16,829.95,173,707.57,,,,,,
3/14/16,830.53,173.13,708.07,,,,,,
3/15/16,834.04,173.85,711.03,,,,,,
3/16/16,843.28,175.78,718.87,,,,,,
3/17/16,847.19,176.59,722.2,,,,,,
3/18/16,849.36,177.04,724.05,,,,,,
3/21/16,852.09,177.61,726.38,,,,,,
3/22/16,853.03,177.81,727.18,,,,,,
3/23/16,847.89,176.74,722.8,,,,,,
3/24/16,849.04,176.98,723.78,,,,,,
3/28/16,846.67,176.48,721.73,,,,,,
3/29/16,860.07,179.27,733.14,,,,,,
3/30/16,866.16,180.54,738.26,,,,,,
3/31/16,864.82,180.26,737.12,,,,,,
4/1/16,872.25,181.81,743.45,,,,,,
4/4/16,868.1,180.92,739.66,,,,,,
4/5/16,858.86,179,731.78,,,,,,
4/6/16,867.98,180.9,739.5,,,,,,
4/7/16,855.55,178.3,728.9,,,,,,
4/8/16,855.91,178.38,729.2,,,,,,
4/11/16,854.28,178.04,727.82,,,,,,
4/12/16,859.25,179.07,731.96,,,,,,
4/13/16,871.21,181.55,742.01,,,,,,
4/14/16,870.27,181.35,741.21,,,,,,
4/15/16,866.24,180.51,737.78,,,,,,
4/18/16,869.63,181.22,740.67,,,,,,
4/19/16,864.14,180.08,735.99,,,,,,
4/20/16,866,180.47,737.58,,,,,,
4/21/16,864.99,180.25,736.71,,,,,,
4/22/16,848.54,176.83,722.7,,,,,,
4/25/16,847.34,176.58,721.68,,,,,,
4/26/16,844.01,175.88,718.85,,,,,,
4/27/16,836.91,174.4,712.8,,,,,,
4/28/16,825.54,172.03,703.04,,,,,,
4/29/16,818.23,170.5,696.81,,,,,,
5/2/16,823.61,171.63,701.4,,,,,,
5/3/16,816.83,170.21,695.62,,,,,,
5/4/16,813.54,169.51,692.58,,,,,,
5/5/16,814.4,169.64,692.67,,,,,,
5/6/16,820.47,170.88,697.55,,,,,,
5/9/16,820.57,170.91,697.63,,,,,,
5/10/16,831.44,173.17,706.86,,,,,,
5/11/16,825.92,172.02,702.11,,,,,,
5/12/16,822.58,171.32,699.25,,,,,,
5/13/16,820.25,170.83,697.27,,,,,,
5/16/16,831.69,173.21,706.97,,,,,,
5/17/16,823.41,171.45,699.38,,,,,,
5/18/16,827.69,172.34,703.01,,,,,,
5/19/16,822.9,171.34,698.92,,,,,,
5/20/16,832.64,173.37,707.2,,,,,,
5/23/16,831.78,173.19,706.47,,,,,,
5/24/16,849.49,176.87,721.46,,,,,,
5/25/16,855.8,178.18,726.77,,,,,,
5/26/16,857.92,178.62,728.54,,,,,,
5/27/16,862.98,179.66,732.65,,,,,,
5/31/16,864.05,179.89,733.57,,,,,,
6/1/16,861.89,179.44,731.73,,,,,,
6/2/16,860.73,179.2,730.75,,,,,,
6/3/16,857.1,178.44,727.66,,,,,,
6/6/16,859.77,178.99,729.89,,,,,,
6/7/16,861.17,179.28,731.08,,,,,,
6/8/16,864.31,179.93,733.7,,,,,,
6/9/16,863.63,179.79,733.13,,,,,,
6/10/16,854.5,177.89,725.36,,,,,,
6/13/16,844.99,175.91,717.24,,,,,,
6/14/16,846.12,176.14,718.17,,,,,,
6/15/16,843.86,175.67,716.21,,,,,,
6/16/16,845.91,176.09,717.95,,,,,,
6/17/16,837.99,174.44,711.22,,,,,,
6/20/16,842.45,175.37,715.01,,,,,,
6/21/16,848.02,176.53,719.73,,,,,,
6/22/16,844.25,175.75,716.54,,,,,,
6/23/16,856.93,178.39,727.3,,,,,,
6/24/16,820.54,170.81,696.41,,,,,,
6/27/16,801.48,166.84,680.23,,,,,,
6/28/16,817.79,170.24,694.06,,,,,,
6/29/16,831.45,173.08,705.59,,,,,,
6/30/16,840.23,174.9,713.04,,,,,,
7/1/16,841.42,175.15,713.96,,,,,,
7/5/16,835.6,173.92,708.76,,,,,,
7/6/16,840.07,174.84,712.51,,,,,,
7/7/16,842.14,175.27,714.27,,,,,,
7/8/16,856.36,178.23,726.32,,,,,,
7/11/16,861.82,179.37,730.94,,,,,,
7/12/16,870.09,181.09,737.95,,,,,,
7/13/16,869.28,180.92,737.27,,,,,,
7/14/16,876.3,182.38,743.22,,,,,,
7/15/16,874.91,182.09,742.04,,,,,,
7/18/16,881.33,183.43,747.48,,,,,,
7/19/16,880.29,183.21,746.6,,,,,,
7/20/16,892.49,185.75,756.94,,,,,,
7/21/16,887.98,184.81,753.12,,,,,,
7/22/16,892.57,185.77,757.01,,,,,,
7/25/16,891.44,185.53,756.05,,,,,,
7/26/16,895.21,186.32,759.25,,,,,,
7/27/16,902.1,187.75,765.1,,,,,,
7/28/16,905.32,188.41,767.72,,,,,,
7/29/16,906.52,188.66,768.74,,,,,,
8/1/16,910.13,189.41,771.8,,,,,,
8/2/16,902.62,187.85,765.42,,,,,,
8/3/16,906.31,188.6,768.31,,,,,,
8/4/16,911.52,189.64,772.11,,,,,,
8/5/16,922.3,191.88,781.24,,,,,,
8/8/16,922.41,191.89,781.09,,,,,,
8/9/16,924.19,192.26,782.57,,,,,,
8/10/16,921.07,191.61,779.92,,,,,,
8/11/16,924.3,192.28,782.63,,,,,,
8/12/16,923.64,192.14,782.08,,,,,,
8/15/16,928.1,193.07,785.86,,,,,,
8/16/16,923.61,192.09,781.49,,,,,,
8/17/16,923.32,192.03,781.19,,,,,,
8/18/16,924.06,192.18,781.79,,,,,,
8/19/16,925.92,192.57,783.36,,,,,,
8/22/16,925.36,192.45,782.89,,,,,,
8/23/16,928.81,193.16,785.76,,,,,,
8/24/16,923.89,192.14,781.55,,,,,,
8/25/16,925.04,192.38,782.52,,,,,,
8/26/16,926.38,192.65,783.65,,,,,,
8/29/16,929.28,193.24,785.92,,,,,,
8/30/16,927.09,192.79,784.06,,,,,,
8/31/16,925.72,192.5,782.9,,,,,,
9/1/16,928.95,193.17,785.64,,,,,,
9/2/16,932.39,193.89,788.55,,,,,,
9/6/16,936.79,194.8,792.26,,,,,,
9/7/16,939.14,195.29,794.2,,,,,,
9/8/16,930.86,193.57,787.19,,,,,,
9/9/16,909.07,189.04,768.76,,,,,,
9/12/16,924.57,192.25,781.81,,,,,,
9/13/16,918.74,191.04,776.87,,,,,,
9/14/16,924.08,192.15,781.35,,,,,,
9/15/16,939.86,195.43,794.66,,,,,,
9/16/16,936.78,194.79,792.05,,,,,,
9/19/16,934.57,194.33,790.15,,,,,,
9/20/16,934.41,194.29,790.01,,,,,,
9/21/16,944.63,196.42,798.65,,,,,,
9/22/16,949.86,197.5,803.07,,,,,,
9/23/16,940.73,195.61,795.35,,,,,,
9/26/16,934.61,194.33,790.18,,,,,,
9/27/16,945.35,196.57,799.26,,,,,,
9/28/16,948.39,197.2,801.79,,,,,,
9/29/16,943.06,196.09,797.28,,,,,,
9/30/16,948.31,197.18,801.72,,,,,,
10/3/16,944.99,196.47,798.64,,,,,,
10/4/16,943.44,196.15,797.34,,,,,,
10/5/16,947.7,197.03,800.87,,,,,,
10/6/16,949.83,197.47,802.67,,,,,,
10/7/16,947.74,197.03,800.8,,,,,,
10/10/16,954.26,198.38,806.31,,,,,,
10/11/16,943.05,196.05,796.83,,,,,,
10/12/16,943.61,196.17,797.31,,,,,,
10/13/16,937.79,194.96,792.39,,,,,,
10/14/16,942.14,195.86,796.07,,,,,,
10/17/16,939.57,195.33,793.9,,,,,,
